wind;pvo;pva;wave
0.97533256;0;0;0.96906477
0.99404866;0;0.000117894;0.96443236
0.99881059;0.00310486;0.076478938;0.97213417
0.99979579;0.100419442;0.134297693;0.97900933
1;0.09731158;0.108291154;0.98477066
1;0.128557235;0.135487374;0.99121898
1;0.143896269;0.149183522;0.99405348
1;0.144037739;0.148610074;0.99573839
1;0.199081198;0.204582767;0.99675119
1;0.248107815;0.254329558;0.99757862
1;0.28432038;0.291335634;0.99837375
1;0.240736165;0.248899722;0.99852335
1;0.187857255;0.198345084;0.99867439
1;0.12971243;0.144832392;0.99882662
1;0.069080199;0.106287876;0.99929929
1;0.000827749;0.064807088;0.99962926
1;0.001510944;0.016527084;0.9997673
1;0;0;0.99995434
1;0;0;0.9999944
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
0.99999261;0;0.007188239;1
0.99992746;0;0.225370686;0.99999964
0.99984586;0.13753174;0.376366186;0.99997437
0.99972242;0.264526693;0.376703075;0.99995315
0.9996776;0.379769014;0.444038262;0.99997902
0.9996652;0.463723963;0.489677303;0.99999213
0.99967331;0.513184675;0.513711216;0.9999975
0.99970323;0.640255296;0.612333473;0.99997175
0.99967331;0.741880492;0.695157587;0.99994385
0.99953657;0.79788578;0.783354933;0.99990261
0.99928153;0.648085507;0.714089089;0.99977899
0.99915338;0.478471683;0.613421355;0.99943972
0.99848008;0.307940343;0.480857705;0.99764752
0.99635249;0.132943165;0.368182932;0.99504578
0.99020177;0.001655668;0.184154069;0.99147201
0.98020273;0.003030624;0.025772431;0.98552382
0.96053493;0;0;0.97438467
0.91319829;0;0;0.95698869
0.85514826;0;0;0.93661946
0.8583104;0;0;0.91803753
0.90163958;0;0;0.8993082
0.91307735;0;0;0.87500489
0.92375195;0;0;0.86223316
0.95949596;0;0;0.84854454
0.98931563;0;0;0.8336978
0.99801314;0.001532891;0.080705972;0.84723508
0.99948049;0.106309573;0.150914341;0.85976756
0.99972212;0.126948138;0.142672995;0.87132752
0.99991727;0.161413309;0.170244743;0.93198717
1;0.171437119;0.177595678;0.96348476
1;0.159750015;0.164711791;0.98122275
1;0.149559054;0.153972816;0.99198401
1;0.128441157;0.132303869;0.99578118
1;0.100096199;0.103355325;0.99754608
1;0.112974375;0.117103237;0.99964499
1;0.114163285;0.120218571;0.99990439
1;0.100730844;0.111612815;0.99999309
1;0.095386559;0.123926241;1
1;0.012570042;0.098089171;1
1;0.008891757;0.087038712;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;0.99993277
1;0;0;0.99970043
1;0;0;0.99945915
1;0;0.280040749;0.99936044
1;0.130937975;0.446737744;0.9991008
1;0.280066948;0.425507421;0.99844646
1;0.378512309;0.443033373;0.99788404
0.99978167;0.424372124;0.444366243;0.9965589
0.99921149;0.422686265;0.426734783;0.99313462
0.99758029;0.4604621;0.457580419;0.98978198
0.99176228;0.473171437;0.468644304;0.98623514
0.98092061;0.459474551;0.461039869;0.98227727
0.95648199;0.469765291;0.496022984;0.9781785
0.90504241;0.435795218;0.541909916;0.97377968
0.8079235;0.347730819;0.596509592;0.96933526
0.64176321;0.146933883;0.505515631;0.96877044
0.43136373;0.000546497;0.29498837;0.96782231
0.31635419;0.004052352;0.041305464;0.96673751
0.27267766;0;0;0.96479881
0.24726211;0;0;0.96274805
0.22276327;0;0;0.96108365
0.21856593;0;0;0.95944446
0.22889756;0;0;0.95596445
0.17602758;0;0;0.94621038
0.12797254;0;0;0.9355967
0.11644568;0;0;0.92459571
0.11555245;0;0;0.91365623
0.096440919;0.000540674;0.079661359;0.89698595
0.065569311;0.104737381;0.151576474;0.87960243
0.04658369;0.123359201;0.138739387;0.85807538
0.051260956;0.206220697;0.218677782;0.84426618
0.057814848;0.291432182;0.30137175;0.82979167
0.064948201;0.372971996;0.378545245;0.8145147
0.077696845;0.375483698;0.379247849;0.79861009
0.081851594;0.354832236;0.359491871;0.7825247
0.0930437;0.315092891;0.321629286;0.7656275
0.14017476;0.331496393;0.342438146;0.76176286
0.21333578;0.318163602;0.354102159;0.75809038
0.31307387;0.266013997;0.369766008;0.75469571
0.5447765;0.120500566;0.301765232;0.78535086
0.8954733;0.001514014;0.169117219;0.81101882
0.99600655;0.002876569;0.026488451;0.8339957
0.99969918;0;0;0.87732971
0.99959439;0;0;0.91154027
0.99902779;0;0;0.93551689
0.99803656;0;0;0.95347357
0.99512899;0;0;0.96273363
0.99053419;0;0;0.96470833
