wind;pvo;pva;wave
1;0;0;0.27501345
1;0;0;0.33806461
0.99999678;0;0;0.40418947
0.99998552;0;0;0.47031435
0.9999271;0;0;0.53643918
0.99973249;0;0;0.61013895
0.99918681;0;0;0.68383873
0.99699581;0;0;0.7575385
0.98748112;0;0;0.81209779
0.95584375;0;0;0.86665696
0.88308012;0;0;0.92009246
0.78882027;0;0;0.95253992
0.72992611;0;0;0.97180694
0.70591563;0;0;0.98658401
0.73050475;0;0;0.99711049
0.81477112;0;0;0.99993277
0.91387856;0;0;1
0.97532034;0.035728499;0.041860141;1
0.99962074;0.059790853;0.063254118;1
0.99992001;0.037149906;0.033318087;1
0.99992836;0.043280736;0.03389411;1
0.99991602;0.03285905;0.030826442;1
0.99993855;0.018128572;0.022428211;1
0.99994135;0.029432509;0.0335005;1
0.99995118;0;0;1
0.99993867;0;0;0.99991417
0.99993843;0;0;0.99802411
0.99991721;0;0;0.99448264
0.99991769;0;0;0.98992801
0.9999184;0;0;0.98481858
0.99996066;0;0;0.97916776
0.99997193;0;0;0.97323465
0.99997514;0;0;0.97204298
0.99995619;0;0;0.97064924
0.99987996;0;0;0.96925551
0.99972624;0;0;0.97235668
0.99936891;0;0;0.97545779
0.99885476;0;0;0.9785589
0.99835151;0;0;0.98520732
0.99825412;0;0;0.9903636
0.99859828;0;2.62E-06;0.99500096
0.99924201;0.047058828;0.055679001;0.99676859
0.99975342;0.082182929;0.083287969;0.99829793
0.99992532;0.0730296;0.057232484;0.99982727
0.99996638;0.07716009;0.056545679;1
0.99996287;0.063666001;0.052414618;1
0.99987644;0.034906045;0.043204002;1
0.99978334;0.037841775;0.043129999;1
0.99969393;0.000732387;0;1
0.99945915;0;0;1
0.99873561;0;0;1
0.99656981;0;0;1
0.99139124;0;0;1
0.981929;0;0;1
0.96544236;0;0;1
0.94358182;0;0;1
0.91897047;0;0;1
0.88541126;0;0;1
0.86715776;0;0;1
0.85441911;0;0;0.99996924
0.82931703;0;0;0.99991614
0.7877484;0;0;0.99973112
0.74407411;0;0;0.99981737
0.70964515;0;0;0.99990845
0.62443614;0;0.000117656;0.99995899
0.52545959;0.042667225;0.050446399;0.99998772
0.44046062;0.074295066;0.075986162;0.99989963
0.37370384;0.058601454;0.048160851;0.99935752
0.31814489;0.063469626;0.049674258;0.99862909
0.25705993;0.052512534;0.046114452;0.99746001
0.19910663;0.029154226;0.036264621;0.99571937
0.15584461;0.036370892;0.042059071;0.99321133
0.13036402;0.00128613;0;0.98925149
0.11857159;0;0;0.98437691
0.13066214;0;0;0.97901988
0.19332756;0;0;0.97384441
0.27494493;0;0;0.97111195
0.35339844;0;0;0.96999705
0.405265;0;0;0.96906734
0.44469222;0;0;0.96662229
0.50383139;0;0;0.96330488
0.55503058;0;0;0.95871794
0.58066368;0;0;0.95237535
0.60905629;0;0;0.94680834
0.64046985;0;0;0.94076824
0.68406862;0;0;0.9345516
0.73146206;0;0;0.93343389
0.78420812;0;0;0.93213439
0.83775407;0;4.07E-05;0.93060672
0.87090063;0.038442358;0.047253344;0.91810191
0.90210038;0.072814666;0.075621128;0.90929925
0.93467206;0.058229927;0.047431245;0.89924014
0.95653677;0.063571215;0.049153443;0.89546704
0.96681744;0.054198965;0.046141531;0.89158386
0.96875435;0.030680161;0.039043266;0.887218
0.96846116;0.037513912;0.043945372;0.89122236
0.96738625;0.00111649;0;0.89388406
0.95695823;0;0;0.89610612
0.93192184;0;0;0.90422451
0.89192283;0;0;0.90667748
0.83976281;0;0;0.90716553
0.78497541;0;0;0.9034003
0.71333277;0;0;0.89723283
0.63358784;0;0;0.88801718
0.57159305;0;0;0.8717615
0.52048409;0;0;0.85135382
0.45517844;0;0;0.82631183
0.39642543;0;0;0.79759198
0.3571395;0;0;0.76432639
0.32081953;0;0;0.72769678
0.28752664;0;0;0.70133334
0.2760146;0;0;0.67499328
0.2936393;0.000729893;0.006405154;0.64836407
0.31441143;0.10271429;0.12397578;0.62492067
0.33789816;0.24338876;0.21966881;0.60146761
0.36478657;0.34075135;0.18690942;0.57788825
0.39585671;0.37527978;0.17691274;0.55792248
0.44462299;0.33978227;0.22552213;0.53785008
0.48611075;0.21870607;0.26950014;0.51774186
0.51557726;0.12204209;0.16367874;0.50198662
0.53146303;0.003218858;0.000894206;0.48618931
0.54326057;0;0;0.47037935
0.55583763;0;0;0.4606995
0.55421895;0;0;0.45054576
0.5364539;0;0;0.44039878
0.49070358;0;0;0.43568367
0.43889388;0;0;0.43020102
0.40173417;0;0;0.4247207
0.39243257;0;0;0.41922373
0.40724728;0;0;0.41355193
0.43346301;0;0;0.40776601
0.48244148;0;0;0.40406877
0.53005779;0;0;0.40032673
0.56157237;0;0;0.39665228
0.57999551;0;0;0.39570704
0.57558197;0;0;0.39416972
0.53400928;0.000320949;0.00489004;0.39222646
0.46178389;0.083246842;0.09875083;0.39015454
0.3952482;0.15608898;0.14411663;0.38792112
0.381488;0.17062937;0.11652748;0.38531771
0.4237839;0.19590908;0.12058382;0.38376367
0.47974759;0.1857627;0.13454309;0.38188046
0.5584113;0.12099672;0.14389262;0.37976569
0.63926619;0.073889688;0.086802423;0.38264513
0.69531834;0.003148282;0.002547586;0.38471025
0.72445059;0;0;0.38526905
0.72674501;0;0;0.39023137
0.71215254;0;0;0.39411503
0.693847;0;0;0.39568168
0.67595112;0;0;0.39274034
0.6699475;0;0;0.38851359
0.67623359;0;0;0.38322768
0.69819021;0;0;0.38082576
0.73375255;0;0;0.3733364
0.77240855;0;0;0.35697323
0.81518769;0;0;0.36576915
0.84612894;0;0;0.37192953
0.86116111;0;0;0.37331396
0.86628205;0;0;0.39339221
0.85736269;0;0;0.41077018
0.8408705;0.001766083;0.009107727;0.42395318
0.83122784;0.062331066;0.078599736;0.42440394
0.83950114;0.12265159;0.11129814;0.42201856
0.86378694;0.11597928;0.082320876;0.41708913
0.89862001;0.11194553;0.07962507;0.43285438
0.9306078;0.091207981;0.072956853;0.44855204
0.95153189;0.046381399;0.05691696;0.46227419
0.96120441;0.048245572;0.058432966;0.49355441
0.9586696;0.004031608;0.004331251;0.5243659
0.94790995;0;0;0.55610442
0.94301778;0;0;0.60932875
0.94949597;0;0;0.66190261
0.96717739;0;0;0.7105875
0.97776908;0;0;0.73221123
0.98011982;0;0;0.75183529
0.97668457;0;0;0.76910245
0.96773314;0;0;0.75697505
0.95559639;0;0;0.74467742
0.94196838;0;0;0.73212373
0.9329952;0;0;0.72235823
0.92608529;0;0;0.71250719
0.91595262;0;0;0.70260662
0.89767724;0;0;0.7056942
0.87182343;0;0;0.70886219
0.8549096;0.003212722;0.013916256;0.71203756
0.85098791;0.068902895;0.082158461;0.70731229
0.85039824;0.10677181;0.10308674;0.70247704
0.84303266;0.088136911;0.071328372;0.69750923
0.84755987;0.098607033;0.075863823;0.68658036
0.8616035;0.089235917;0.0740472;0.67558545
0.87261724;0.053650111;0.063957915;0.66461492
0.88288069;0.052284352;0.063670427;0.6506902
0.889211;0.005621636;0.00440411;0.63677084
0.88607705;0;0;0.62295324
0.87593538;0;0;0.61357123
0.86101466;0;0;0.60421556
0.85122734;0;0;0.59483445
0.84226346;0;0;0.60434341
0.84401464;0;0;0.61378324
0.85395861;0;0;0.62323517
